da,dr,ppt,phs,rps
1.21,2.5,51.73,32.24,810.5
1.45,2.38,38.92,20.69,793
1.52,2.5,39.14,25.09,914
1.34,2.63,49.26,23,828
1.39,2.38,41.68,28.55,569.5
1.39,2.45,43.46,21.69,845.5
1.45,2.63,44.87,26.16,
1.46,2.5,41.46,17.48,
1.31,2.43,46.14,31.68,
1.35,2,32.55,30.59,948.5
1.49,2.27,34.6,22.91,966
1.55,2.38,34.88,23.33,828
1.57,3.13,49.65,21.83,1035
1.4,2.71,48.42,17.39,897
1.53,2.63,41.88,20.01,1190.5
1.51,2.71,44.26,23.05,
1.48,2.47,40.35,18.97,
1.35,2.5,45.93,31.71,
1.38,2.63,47.57,29.81,794
1.38,2.38,41.9,25.32,1259
1.43,2.27,36.97,24.67,759
1.56,2.5,37.62,20.88,725
1.53,2.5,38.63,20.2,776.5
1.47,2.58,43.15,22.1,1017.5
1.45,2.38,38.92,26.23,
1.38,2.45,43.63,25.57,
1.23,2.72,54.79,20.52,
1.41,2.27,38.02,28.27,638
1.33,2.63,49.56,18.9,879.5
1.4,2.55,45.05,27.35,414
1.54,2.38,35.44,18.33,345
1.26,2.5,49.42,20.96,655
1.35,1.92,30.02,15.31,811
1.36,2.42,43.71,28.8,
1.35,2.71,50.03,27.53,
1.27,1.92,33.97,19.39,
1.46,2.71,45.92,24.03,569.5
1.29,2.3,43.84,25.6,914
1.38,2.56,45.82,27.07,396.5
1.36,2.78,50.91,17.85,448
1.25,2.27,45.01,18.59,690
1.25,2.43,48.56,20.68,1000.5
1.29,2.17,40.84,34.91,
1.21,3.83,68.41,15.66,
1.3,2.45,47.04,36.87,
1.42,2.78,48.97,26.88,880
1.23,1.82,32.49,36.8,1069.5
1.63,2.33,30.27,20.18,794
1.31,2.3,43.12,38.53,966
1.33,2.38,44.14,31.25,981
1.33,2.33,42.98,33.17,914
1.44,2.42,40.69,24.29,569
1.43,2.27,36.96,26.89,828
1.39,2.33,40.57,29.03,828
1.38,2.08,33.56,30.47,1138.5
1.31,2.27,42.53,33.43,931.5
1.62,2.63,38.6,21.24,1259.5
1.37,2.71,49.38,31.49,1138.5
1.44,2.37,39.1,22.87,897
1.46,2.23,34.32,27.6,1259.5
1.43,2.17,34.16,24.22,1207.5
1.49,2.47,39.8,24.7,1018
1.28,2.32,44.62,20.73,931
1.36,2.88,52.74,30.32,1104
1.33,2.81,52.44,30.75,1035
1.6,2.13,24.93,18.58,1052
1.4,2.65,47.1,27.36,897
1.29,2.3,44.13,28.92,794
1.38,2.17,36.32,25.9,914.5
1.56,2.5,37.73,20.64,1035
1.37,2.94,53.45,26.25,724
1.37,2.22,38.27,19.64,810.5
1.4,2.88,51.25,26.87,724
1.34,2.07,35.33,28.97,862
1.57,2.25,30.38,18.92,742
1.43,2.65,46.05,25.32,707.5
1.24,2.71,54.13,36.4,655
1.34,2.5,46.49,22.09,707.5
1.43,2.43,41.07,21.09,793.5
1.42,2.08,32.02,17.14,638.5
1.28,2.5,48.62,24.64,483
1.31,2.5,47.71,33.94,569
1.32,2.38,44.65,28.25,828
1.45,3.07,52.6,18,741.5
1.36,2.08,34.78,31.94,794
1.23,2.42,49.1,35.44,534.5
1.34,2.45,45.33,29.13,534.5
1.31,2.5,47.46,21.01,690
1.38,2.23,38.11,22.07,845
1.29,2.5,48.48,28.54,465.5
1.3,2,35.16,37.46,1638.5
1.28,2.08,38.7,34.57,759
1.49,2.27,34.64,24.33,466
1.14,2.04,44.16,46.81,414
1.49,2.13,30.27,24.06,931
1.25,3.12,60.14,40.65,603.5
1.32,2.38,44.54,32.8,810.5
1.25,2.12,41.23,41.61,776.5
1.34,2,33.22,34.55,793.5
1.44,2.37,39.08,28.01,927
1.34,2.38,43.66,31.25,897
1.62,2.38,31.89,21.03,672.5
1.27,2.32,45.07,38.94,948.5
1.56,2.17,28.17,19.41,879.5
1.4,2.5,43.97,28.55,914.5
1.44,2.17,33.84,26.17,828
1.35,2.23,39.19,28.24,845.5
1.46,2.43,40,24.85,793
1.4,2.88,51.28,19.33,1553
1.34,2.27,41.11,28.16,655.5
1.3,2.5,48.09,19.65,603.5
1.4,2.19,36.07,30.78,742
1.49,2.05,27.12,21.73,793.5
1.26,2.3,45.08,36.31,569
1.45,2.5,41.94,24.79,793
1.48,2.27,35.03,20.01,655.5
1.33,2.33,42.87,28.74,1173
1.4,2.27,38.44,26.99,1673.5
1.33,2.3,42.16,24.23,656
1.52,2.37,35.65,22.29,569.5
1.37,2.42,43.34,30.87,586
1.36,2.17,37.31,31.78,1000.5
1.23,2.56,51.8,41,621
1.28,2.05,37.59,27.54,603.5
1.45,2.08,30.58,21.2,483
1.35,2.08,35.09,31.31,1208
1.35,2.27,40.55,30.24,1276
1.29,2.17,40.75,25.12,759
1.4,2.38,41.31,23.76,483
1.4,2.27,38.5,28.26,621
1.22,2.08,41.53,28.46,534.5
1.47,2.33,37.01,36.18,690
1.38,2.3,40.2,26.54,466
1.32,2.5,47.36,30.19,431.5
1.48,2.04,27.5,15.2,863
1.32,2.32,42.85,32.69,1000
1.34,2.27,41.09,27.71,759
1.52,2.22,31.28,23.97,345
1.41,2.18,35.32,23.89,845
1.46,2.27,35.72,24.81,345
1.36,2.13,36.08,23.06,776
1.54,1.87,17.66,29.2,742
1.64,2.13,22.95,24.27,276
1.14,2.38,52.01,34.68,396.5
1.32,2.38,44.62,33.44,1086.5
1.34,2.38,43.56,28.62,948.5
1.56,2.71,42.47,24.2,621
1.37,2.13,35.64,26.05,862
1.33,2.13,37.51,30.12,897
1.36,2.17,37.64,18.18,1311
1.6,2.65,39.6,28.43,949
1.73,2.38,27.2,20.89,638
1.17,2.38,50.92,32.33,638.5
1.4,1.96,28.63,24.58,1569.5
1.29,2.38,46.02,31.58,1017.5
1.53,1.92,20.45,23.63,707
1.31,2.27,42.4,32.95,897
1.47,2.43,39.52,20.04,862.5
1.43,2.22,35.35,24.92,1190.5
1.55,2.32,32.99,23.05,794
1.75,2.17,19.58,18.35,1035
1.25,2.27,44.95,26.19,414
1.26,2.27,44.44,34.58,1208
1.32,2.27,41.76,31.96,845.5
1.66,2.3,27.78,19.82,741.5
1.35,2.43,44.37,32.64,897
1.36,2.43,44.11,21.12,914.5
1.48,2.08,29.14,23.82,1069.5
1.57,2.41,34.9,31.16,586.5
1.65,2.27,27.33,19.37,1139
1.25,2.55,50.94,25.95,327.5
1.22,2.39,48.82,36.84,1277
1.33,2.17,38.89,29.42,966
1.51,3.07,50.67,17.28,1121
1.32,2.42,45.32,31.73,793.5
1.29,2.38,45.86,18.7,966
1.46,2.08,29.97,18.8,1380
1.48,2.6,42.94,21.75,672.5
1.31,2,34.41,13.61,1052.5
